Endogenous,Standards
Cer+CH3COO,LPC-d7(Acetate)
Co+H,LPC-d7(Acetate)
Co+NH4,LPC-d7(Acetate)
DG+NH4,LPC-d7(Acetate)
DG+Na,LPC-d7(Acetate)
FA-H,LPC-d7(Acetate)
Hex1Cer+CH3COO,LPC-d7(Acetate)
LPC+H,LPC-d7(Acetate)
LPC-CH3,LPC-d7(Acetate)
LPC+CH3COO,LPC-d7(Acetate)
LPC+Na,LPC-d7(Acetate)
LPE-H,LPC-d7(Acetate)
LPE+H,LPC-d7(Acetate)
LPG-H,LPC-d7(Acetate)
LPI-H,LPC-d7(Acetate)
LSM+H,LPC-d7(Acetate)
MG+H,LPC-d7(Acetate)
PC+H,LPC-d7(Acetate)
PC+CH3COO,LPC-d7(Acetate)
PC+Na,LPC-d7(Acetate)
PC-CH3,LPC-d7(Acetate)
PE-H,LPC-d7(Acetate)
PE+H,LPC-d7(Acetate)
PE+Na,LPC-d7(Acetate)
PG-H,LPC-d7(Acetate)
PG+Na,LPC-d7(Acetate)
PG+H,LPC-d7(Acetate)
PG+NH4,LPC-d7(Acetate)
PI-H,LPC-d7(Acetate)
PI+H,LPC-d7(Acetate)
PI+Na,LPC-d7(Acetate)
PI+NH4,LPC-d7(Acetate)
PS-H,LPC-d7(Acetate)
PS+H,LPC-d7(Acetate)
SM+H,LPC-d7(Acetate)
SM+CH3COO,LPC-d7(Acetate)
SM+Na,LPC-d7(Acetate)
SPH+H,LPC-d7(Acetate)
TG+Na,LPC-d7(Acetate)
TG+NH4,LPC-d7(Acetate)
