Endogenous,Standards
Cer+CH3COO,Cer-d7(Acetate)
Co+H,dummy
Co+NH4,dummy
DG+NH4,DG-d7(Ammonium)
DG+Na,DG-d7(Sodium)
FA-H,dummy
Hex1Cer+CH3COO,dummy
Hex2Cer+H,dummy
Hex3Cer+H,dummy
LPC+CH3COO,LPC-d7(Acetate)
LPC+H,LPC-d7(Proton)
LPC-CH3,LPC-d7(Acetate)
LPC+Na,LPC-d7(Proton)
LPE-H,LPE-d7(Deprot)
LPE+Na,dummy
LPE+H,dummy
LSM+H,dummy
MG+H,dummy
PC+H,PC-d7(Proton)
PC+CH3COO,PC-d7(Acetate)
PC+Na,PC-d7(Proton)
PC-CH3,PC-d7(Acetate)
PE-H,PE-d7(Deprot)
PE+H,dummy
PE+Na,dummy
PG-H,PG-d7(Deprot)
PI-H,PI-d7(Deprot)
PS-H,PS-d7(Deprot)
SM+H,SM-d7(Proton)
SM+CH3COO,SM-d7(Acetate)
SM+Na,SM-d7(Proton)
SPH+H,dummy
TG+Na,TG-d7(Sodium)
TG+NH4,TG-d7(Ammonium)
