"Endogenous","Standards"
"Cer+CH3COO","LPC-d7(Proton)"
"Co+H","LPC-d7(Acetate)"
"Co+NH4","LPE-d7(Deprot)"
"DG+NH4","MAG-d7(Acetate)"
"DG+Na","PI-d7(Deprot)"
"FA-H","PS-d7(Deprot)"
"Hex1Cer+CH3COO","PG-d7(Deprot)"
"LPC+H","SM-d7(Acetate)"
"LPC-CH3","SM-d7(Proton)"
"LPC+CH3COO","PC-d7(Proton)"
"LPC+Na","Cer-d7(Deprot)"
"LPE-H","PC-d7(Acetate)"
"LPE+H","Cer-d7(Proton)"
"LPG-H","Cer-d7(Acetate)"
"LPI-H","PE-d7(Deprot)"
"LSM+H","DG-d7(Ammonium)"
"MG+H","DG-d7(Sodium)"
"PC+H","TG-d7(Ammonium)"
"PC+CH3COO","TG-d7(Sodium)"
"PC+Na",NA
"PC-CH3",NA
"PE-H",NA
"PE+H",NA
"PE+Na",NA
"PG-H",NA
"PG+Na",NA
"PG+H",NA
"PG+NH4",NA
"PI-H",NA
"PI+H",NA
"PI+Na",NA
"PI+NH4",NA
"PS-H",NA
"PS+H",NA
"SM+H",NA
"SM+CH3COO",NA
"SM+Na",NA
"SPH+H",NA
"TG+Na",NA
"TG+NH4",NA
